word,reading,meaning,example,type,category_id
汗水垂らして,あせみずたらして,一生懸命働くこと。,汗水垂らして働いた甲斐があって、家を建てることができた。,慣用句,1
骨を折る,ほねをおる,努力する、苦労する。,新商品の開発のために骨を折った。,慣用句,1
身を粉にして,みをこにして,自分を犠牲にしてまで一生懸命働くこと。,彼は家族のために身を粉にして働いている。,慣用句,1
精を出す,せいをだす,熱心に取り組む。,彼は勉強に精を出している。,慣用句,1
額に汗する,ひたいにあせする,一生懸命働く。,額に汗して働く父の姿を見て感動した。,慣用句,1
手に汗握る,てにあせにぎる,緊張や興奮で手に汗をかくほど真剣になる。,手に汗握る試合展開だった。,慣用句,1
力を尽くす,ちからをつくす,全力で努力する。,彼は患者の治療に力を尽くした。,慣用句,1
身を入れる,みをいれる,熱心に取り組む。,彼は新しい仕事に身を入れている。,慣用句,1
血と汗の結晶,ちとあせのけっしょう,懸命な努力の成果。,この作品は彼の血と汗の結晶だ。,慣用句,1
死力を尽くす,しりょくをつくす,命がけで全力を尽くす。,彼は試合で死力を尽くした。,慣用句,1
油を売る,あぶらをうる,なまけてのんびりしている。,仕事中に油を売ってばかりいては困る。,慣用句,1
手を抜く,てをぬく,手加減をする、手を抜いて仕事をする。,大切な仕事では手を抜いてはいけない。,慣用句,1
寝食を忘れる,しんしょくをわすれる,何かに夢中になって食事や睡眠を忘れる。,彼は研究に寝食を忘れて取り組んでいる。,慣用句,1
気を入れる,きをいれる,真剣に取り組む。,今度のプロジェクトには気を入れて取り組もう。,慣用句,1
腰を据える,こしをすえる,本格的に取り組む。,いよいよ腰を据えて勉強に取り組んだ。,慣用句,1
肌が合わない,はだがあわない,性格が合わない。,彼とは肌が合わないようだ。,慣用句,2
心を通わせる,こころをかよわせる,互いに理解し合う。,二人は心を通わせている。,慣用句,2
肩を並べる,かたをならべる,同等の地位につく。,ついに先輩と肩を並べることができた。,慣用句,2
目に入れても痛くない,めにいれてもいたくない,非常にかわいがる。,孫は目に入れても痛くないほどかわいい。,慣用句,2
水と油,みずとあぶら,性格や考え方が合わない関係。,二人は水と油の関係だ。,慣用句,2
