word,reading,meaning,example,type,category_id
切磋琢磨,せっさたくま,互いに励まし合い競い合って向上すること,チームメイトと切磋琢磨しながら技術を向上させた,四字熟語,1
一生懸命,いっしょうけんめい,全力を尽くして物事に取り組むこと,一生懸命勉強して志望校に合格した,四字熟語,1
百折不撓,ひゃくせつふとう,何度失敗しても挫けずに努力し続けること,百折不撓の精神で困難に立ち向かった,四字熟語,1
勤勉努力,きんべんどりょく,まじめに努力すること,勤勉努力の結果が実を結んだ,四字熟語,1
精進努力,しょうじんどりょく,一心に努力すること,精進努力を重ねて技術を磨いた,四字熟語,1
粉骨砕身,ふんこつさいしん,骨身を惜しまず全力で努力すること,粉骨砕身して会社のために働いた,四字熟語,1
不眠不休,ふみんふきゅう,眠らず休まず働き続けること,不眠不休で研究に取り組んだ,四字熟語,1
継続努力,けいぞくどりょく,絶え間なく努力を続けること,継続努力が成功への鍵である,四字熟語,1
刻苦勉励,こっくべんれい,苦労をいとわず励むこと,刻苦勉励して学問に励んだ,四字熟語,1
勤勉実直,きんべんじっちょく,まじめで誠実に働くこと,彼は勤勉実直な人柄で信頼されている,四字熟語,1
以心伝心,いしんでんしん,言葉に出さなくても心が通じ合うこと,夫婦の間では以心伝心で意思疎通ができる,四字熟語,2
和気藹々,わきあいあい,なごやかで親しみやすい雰囲気,職場は和気藹々とした雰囲気に包まれていた,四字熟語,2
同心協力,どうしんきょうりょく,心を一つにして協力すること,チーム全員が同心協力して目標を達成した,四字熟語,2
親密無間,しんみつむかん,非常に親しく隔たりがないこと,二人は親密無間の仲である,四字熟語,2
相思相愛,そうしそうあい,互いに愛し合うこと,あの二人は相思相愛の関係だ,四字熟語,2
情報交換,じょうほうこうかん,情報を互いに交換すること,定期的な情報交換が重要である,四字熟語,2
信頼関係,しんらいかんけい,互いに信頼し合う関係,長年の信頼関係を築いてきた,四字熟語,2
人情味厚,にんじょうみあつ,人情に厚いこと,彼は人情味厚い人として慕われている,四字熟語,2
友好親善,ゆうこうしんぜん,仲良く親しくすること,両国の友好親善を深めた,四字熟語,2
心心相印,しんしんそういん,心と心が通じ合うこと,師弟の間で心心相印の関係を築いた,四字熟語,2
博学多才,はくがくたさい,広い知識と多くの才能を持つこと,彼は博学多才で尊敬されている,四字熟語,3
才色兼備,さいしょくけんび,才能と美貌を兼ね備えること,彼女は才色兼備の女性だ,四字熟語,3
博覧強記,はくらんきょうき,広く書物を読み記憶力が優れていること,博覧強記の学者として知られている,四字熟語,3
温故知新,おんこちしん,古いことを学んで新しい知識を得ること,温故知新の精神で学問に取り組む,四字熟語,3
学問思弁,がくもんしべん,学問を深く考えること,学問思弁に励む研究者,四字熟語,3
知行合一,ちこうごういつ,知識と実践を一致させること,知行合一を重視する教育方針,四字熟語,3
